EMB_1,EMB_2,EMB_3,EMB_4,EMB_5,EMB_6,EMB_7,EMB_8,EMB_9,EMB_10,EMB_11,EMB_12,EMB_13,EMB_14,EMB_15,EMB_16,EMB_17,EMB_18,EMB_19,EMB_20,EMB_21,EMB_22,EMB_23,EMB_24,EMB_25,EMB_26,EMB_27,EMB_28,EMB_29,EMB_30,EMB_31,EMB_32,EMB_33,EMB_34,EMB_35,EMB_36,EMB_37,EMB_38,EMB_39,EMB_40,EMB_41,EMB_42,EMB_43,EMB_44,EMB_45,EMB_46,EMB_47,EMB_48,EMB_49,EMB_50,EMB_51,EMB_52,EMB_53,EMB_54,EMB_55,EMB_56,EMB_57,EMB_58,EMB_59,EMB_60,EMB_61,EMB_62,EMB_63,EMB_64,EMB_65,EMB_66,EMB_67,EMB_68,EMB_69,EMB_70,EMB_71,EMB_72,EMB_73,EMB_74,EMB_75,EMB_76,EMB_77,EMB_78,EMB_79,EMB_80,EMB_81,EMB_82,EMB_83,EMB_84,EMB_85,EMB_86,EMB_87,EMB_88,EMB_89,EMB_90,EMB_91,EMB_92,EMB_93,EMB_94,EMB_95,EMB_96,EMB_97,EMB_98,EMB_99,EMB_100,EMB_101,EMB_102,EMB_103,EMB_104,EMB_105,EMB_106,EMB_107,EMB_108,EMB_109,EMB_110,EMB_111,EMB_112,EMB_113,EMB_114,EMB_115,EMB_116,EMB_117,EMB_118,EMB_119,EMB_120,EMB_121,EMB_122,EMB_123,EMB_124,EMB_125,EMB_126,EMB_127,EMB_128,FID
0.072694376,-0.047153864,-0.05460253,-0.14887522,-0.025096595,0.03421237,0.09019033,-0.22962375,-0.025119033,0.0061554043,0.016820032,-0.002696529,-0.011848867,-0.12627085,0.15378736,0.093807034,-0.034336925,-0.16828246,0.009910552,-0.07998072,0.06516054,0.038789175,-0.07729303,0.07925991,0.046874367,0.043779578,0.11277762,-0.07093957,0.101356536,0.086707614,0.14838566,-0.06796476,0.10515199,0.033026636,0.06679953,0.09487004,-0.17427108,-0.08594118,0.19984397,0.024275687,-0.0596083,0.038553655,-0.07367632,-0.20669173,-0.04465172,-0.06590536,-0.14607787,-0.017983047,-0.070908494,-0.05406541,-0.039810233,-0.05101568,0.04005605,-0.034842048,0.024079045,0.04204832,0.059039813,-0.037872065,0.0010563427,-0.09734397,-0.03863327,-0.15658408,-0.0030874112,-0.004050145,0.022010026,0.01931876,0.11901875,-0.059516553,-0.15989795,0.10615204,0.15413067,-0.0415119,0.13995367,-0.18636048,0.12053533,-0.0077931727,0.061578345,0.13018376,-0.079897456,0.046838827,-0.13153446,0.10620412,-0.09080676,-0.022096265,0.10787911,-0.008467092,-0.08099623,-0.07595898,0.023861848,0.0012388565,0.16225713,0.063899696,-0.0016949151,0.041426636,0.03075464,0.034278996,-0.16037169,0.07798078,-0.1159344,-0.05811772,0.05413048,-0.07342035,0.12937036,0.04350208,0.08009391,-0.005676436,0.010175333,0.050870385,0.0032462014,-0.0072378316,0.008247367,0.049734183,0.028958006,-0.01878351,0.14058992,-0.0044351583,0.014139913,0.13271849,0.052580282,0.083159395,0.13786529,-0.037077017,0.19251867,-0.07068378,0.10537977,-0.08346425,-0.01998201,0.010109476,90
0.08041517,-0.06872205,-0.123434715,-0.13617069,0.0041502994,0.01757646,0.044303745,-0.18665542,0.022286197,-0.037526764,0.007066562,-0.025709257,0.0018521667,-0.112836905,0.16329476,0.14018995,0.018935293,-0.15298043,0.01976133,-0.079861455,-0.0021876716,0.09408216,-0.09917779,0.001845042,0.06796453,0.013443853,0.11352935,-0.03076557,0.07884873,0.09874838,0.123283155,-0.0442628,0.12223652,-0.015327977,0.097966425,0.11282225,-0.14568427,-0.024882749,0.18109605,0.039071206,-0.06617713,0.0605226,-0.11144347,-0.19668758,-0.026302533,-0.12285447,-0.19379891,-0.012504234,-0.019523049,-0.047790818,0.014704915,-0.04106955,0.018056072,-0.012205774,0.035937015,0.018368725,0.045234933,-0.059905197,0.016168714,-0.111005604,-0.001961526,-0.11312332,-0.040372424,0.01761596,0.06787839,0.009513664,0.13278429,-0.039937876,-0.19058803,0.07047301,0.08434913,-0.011812279,0.1055786,-0.22623873,0.10868641,0.016695382,0.048978522,0.111845545,-0.07250406,0.0005385869,-0.14965186,0.17514767,-0.09862447,0.03154045,0.05006675,-0.115156874,-0.05560512,-0.12148923,-0.03840982,-0.023979934,0.16014007,0.060118094,-0.070654765,-0.010096359,-0.03745381,-0.006004899,-0.13323814,0.059737038,-0.10124167,-0.018845588,0.07930695,-0.04522141,0.032687522,0.027025396,0.116168104,0.053371556,-0.005456536,0.014794425,0.03502187,-0.012698395,0.020948986,0.019013356,0.035235494,-0.027999293,0.13572505,-0.0015801804,0.013370402,0.10379913,0.021798784,0.09938356,0.16122694,-0.008972839,0.18050845,-0.049433216,0.15911509,-0.11772226,-0.052885503,-0.036288876,90
0.058939084,-0.07737112,-0.0952666,-0.13003878,-0.028003925,0.05741258,0.06075175,-0.17684104,0.024245232,0.0046321745,0.01388002,0.015372509,-0.016139602,-0.11449653,0.18047376,0.07748986,0.0182987,-0.16388023,0.031966515,-0.0737769,0.029577577,0.040480666,-0.07492431,0.021331096,0.059260983,0.012559393,0.14521457,-0.03927955,0.06495422,0.06873628,0.13188405,-0.048320837,0.11126884,-0.016756851,0.06512982,0.099634744,-0.17529903,-0.04877856,0.1997945,0.007908939,-0.09808916,0.059779152,-0.086981416,-0.23310666,-0.023593282,-0.06982784,-0.17679112,-0.03551904,-0.029535672,-0.035042748,-0.007055178,-0.036883898,0.05822002,-0.039891582,0.044355586,0.011759761,0.022200739,-0.0025899396,0.003568174,-0.1305673,-0.027453244,-0.11976606,-0.016832877,0.012466492,0.091406,-0.0091909375,0.12622285,-0.037049755,-0.20260498,0.09604888,0.11674118,-0.010996041,0.12825903,-0.21038763,0.08500407,-0.00025955573,0.058809385,0.105665,-0.08999727,0.056958314,-0.15961383,0.14885694,-0.07465104,-0.013207987,0.03146191,-0.06479769,-0.057894975,-0.10220027,-0.04241713,-0.047937248,0.17053306,0.056502923,-0.077340305,0.03906787,0.007815503,-0.011804131,-0.17210595,0.10586091,-0.102399915,-0.016199699,0.08290911,-0.057434063,0.10053916,0.04736122,0.07422986,0.042396527,0.0037146485,0.0061966493,0.040769722,-0.02021314,0.0013483277,0.024441011,0.025207756,-0.008766813,0.14828448,0.015028272,0.007074048,0.13535789,0.058901366,0.10917622,0.11702325,-0.015701858,0.18833041,-0.038726926,0.13016771,-0.0990551,-0.006363726,0.0033493326,90
0.0104164975,-0.0020684435,-0.06523898,-0.14201136,-0.012350197,0.042636063,0.07161013,-0.22252545,0.041111216,0.007527024,-0.022416765,-0.031669676,-0.0061093764,-0.07447174,0.11928609,0.13728599,-0.03370466,-0.13804646,0.029425185,-0.11167184,0.019198947,0.09211237,-0.11662642,0.0552047,0.061493877,0.04206275,0.16773659,-0.08034618,0.007855498,0.08197462,0.11465849,-0.08956627,0.16375503,0.06319763,0.08185592,0.13472472,-0.114901535,-0.11356657,0.20192151,0.022075912,-0.007973747,-0.025796935,-0.15963838,-0.13456558,-0.014915372,-0.09195167,-0.18063338,0.023896424,-0.036659695,-0.07653713,-0.031559743,0.00036222467,-0.012689394,0.02826392,0.069737926,0.017933685,0.069434516,-0.10039407,-0.0044063255,-0.103848144,0.017385866,-0.123758174,-0.038233425,-0.020092279,0.10268988,0.009964536,0.06854558,-0.052216645,-0.21998931,0.092642836,0.11317725,-0.0003386491,0.14788742,-0.2203512,0.111673005,-0.03933703,0.06868466,0.093769476,0.014302209,0.063541144,-0.16607133,0.14295878,-0.014331608,0.038579147,0.088004425,0.015352433,-0.09113584,-0.033924792,0.051948134,-0.01118473,0.11273579,0.09734215,0.0051222164,0.014803451,0.053155273,-0.008748915,-0.11228362,0.07729786,-0.124724716,-0.0005137823,0.12752724,-0.0077980915,-0.019033711,0.07146927,0.056776058,0.041238192,-0.046273623,0.06645927,0.010903878,-0.031201364,-0.04259871,-0.008173619,0.048008393,-0.029637298,0.08265134,-0.0067264787,0.04301783,0.10429216,0.08097232,0.07583323,0.1323488,0.023646303,0.18384638,-0.11595211,0.13703826,-0.060875107,0.06262424,0.022268498,90
0.05115754,-0.04503147,-0.07148208,-0.1331045,0.035922438,0.05164493,0.11011871,-0.2039937,0.02553074,0.0054949746,-0.0033085635,-0.025963202,-0.027100552,-0.1107612,0.1566034,0.11324377,-0.043777585,-0.16983119,0.005055067,-0.11955369,-0.00042378073,0.09123915,-0.07047462,0.04044188,0.032115456,0.043864816,0.11501781,-0.10546551,0.03804571,0.081871346,0.14578584,-0.15476935,0.13269301,0.07356263,0.09824454,0.14101471,-0.14608087,-0.04987056,0.20267458,0.015616001,-0.042431038,0.026846517,-0.09012172,-0.13047001,-0.052588407,-0.0664597,-0.17930835,-0.007409505,-0.06891954,-0.07106357,-0.038780876,-0.044742797,0.03171725,-0.016563086,0.04416974,-0.008327463,0.06139653,-0.039307095,-0.05154334,-0.17178072,-0.06005812,-0.12742195,-0.059876855,-0.045367762,0.018668855,0.016583003,0.036213618,-0.07047209,-0.19654968,0.10191449,0.18033682,-0.03704041,0.10063453,-0.2596424,0.0797674,0.01990612,0.038808886,0.11268268,-0.013353432,0.08301058,-0.12181531,0.09908362,-0.04301153,0.008266009,0.07619916,-0.029958649,-0.062166966,0.010938309,0.07364723,-0.008909832,0.13055715,0.056577455,-0.014978949,0.07295842,0.027449591,-0.014503509,-0.15097931,0.052918416,-0.13414499,-0.0067218104,0.14653648,-0.0652422,-0.0054949387,0.074956395,0.080321334,0.045265127,0.016088938,-0.044416953,0.0018644513,0.011185643,0.0040542115,0.04498115,0.03757774,-0.019004801,0.11098633,-0.035357688,-0.03236376,0.07557074,0.10112502,0.035998207,0.10939825,-0.0021990058,0.160828,-0.06451756,0.13204947,-0.090719275,0.05694352,0.027497746,90
0.06796109,-0.0661914,-0.08970199,-0.14268243,-0.024607701,0.052308735,0.049973957,-0.19201647,0.0060978,0.017076861,0.022520294,-0.043669514,-0.035328038,-0.105829224,0.14071812,0.12620024,0.011736617,-0.14323317,0.043810576,-0.08258641,0.047956757,0.06987999,-0.101851754,0.023570688,0.07831086,0.04269089,0.15800893,-0.070663236,0.09182191,0.10962729,0.11772057,-0.045068733,0.11670715,0.051356312,0.09118283,0.1348719,-0.13784622,-0.05625742,0.19097771,0.042143162,-0.040410426,0.03672768,-0.10054987,-0.16785203,-0.041890763,-0.097851105,-0.18751498,-0.03483274,-0.026091814,-0.09098904,-0.03191712,-0.034601565,0.01999707,-0.0076513626,0.02337768,0.05150965,0.058563378,-0.059202317,0.024160681,-0.13379765,-0.021878846,-0.12314416,-0.026036529,0.008624109,0.05243691,0.02104564,0.11832843,-0.053814843,-0.19613382,0.08337047,0.13214062,-0.008637456,0.13372606,-0.19140576,0.13734034,0.016616108,0.082294166,0.11087009,-0.085224524,0.06535241,-0.16552782,0.1417798,-0.09428183,0.022177653,0.107296705,-0.07390973,-0.08917303,-0.090950966,-0.011225845,0.0045173718,0.11060326,0.06927415,-0.052098613,0.04122319,-0.016423512,-0.033609092,-0.146457,0.0600689,-0.09540034,-0.031134758,0.088935204,-0.060888603,0.0502541,0.05097718,0.10426148,0.06902133,-0.014616991,0.029163234,0.006394779,-0.017824346,0.0708861,0.012363245,0.023068754,-0.013204337,0.14983763,0.009662636,0.03081522,0.09404841,0.04171871,0.110294834,0.18488935,-0.009463342,0.1530666,-0.06898347,0.09315862,-0.07627671,-0.002302045,0.0039620707,90
0.07433593,0.0271041,-0.07109468,-0.044619408,0.03545872,0.041468028,0.114685595,-0.20607601,0.08423593,0.03466781,0.07799274,-0.020728564,-0.018137155,-0.07350826,0.13332549,0.10886921,0.043616444,-0.18891525,2.353097e-05,-0.00765128,-0.031579267,0.13593306,-0.035392266,0.09154714,0.06010922,0.0068850713,0.0742286,-0.021090046,0.12144433,0.045688007,0.11743546,-0.15378931,0.07791133,0.05230075,0.09397887,0.09653361,-0.17089766,-0.041505102,0.21937583,-0.104979634,-0.089424275,0.07024338,-0.1575546,-0.16744345,-0.06803601,-0.031915013,-0.17709291,-0.09608392,-0.060354393,0.026257457,0.024927303,-0.06509372,0.0060865697,-0.056789722,-0.01824147,0.033571314,0.12729579,-0.083562024,-0.031635314,-0.1394764,-0.012163798,-0.046325374,0.088566385,-0.024206461,0.06341027,0.056014776,0.10179626,-0.018700339,-0.08798652,0.12943402,0.06830763,0.017801993,0.036755137,-0.15651628,-0.031989314,0.058665495,0.036571108,-0.02084767,0.008931913,0.064115554,-0.086715005,0.1203704,-0.004647351,0.057977986,0.079757884,-0.112611465,0.04548657,-0.007827789,-0.037027247,-0.02709028,0.16505928,0.08134911,-0.0009201049,0.15815544,-0.014654283,-0.10342721,-0.08469719,0.12285396,-0.13957645,-0.053429898,0.047962304,-0.05288886,-0.0021225477,0.10552492,0.13890466,0.123679504,-0.0457733,-0.014802318,-0.042605586,-0.021524359,0.07246894,0.04706285,0.05047916,0.033757642,0.124624945,0.009149225,0.001043124,0.054712586,0.11422437,0.09671405,0.10268089,0.10052376,0.13598911,-0.05358569,0.16695684,-0.13681477,-0.012532581,-0.08305447,90
0.07909765,-0.06085277,-0.104080535,-0.11580258,-0.045660544,0.06832585,0.069854766,-0.18652499,0.021029763,0.0013465473,0.011684931,-0.00054046354,-0.0048141754,-0.110886045,0.13346483,0.11090738,0.0054335655,-0.1855447,0.010508248,-0.043070536,0.019659357,0.06716237,-0.11985307,0.042877726,0.06998652,0.03449413,0.12930831,-0.03371375,0.09138332,0.0690706,0.13603222,-0.056013014,0.10927739,0.008961789,0.038613986,0.11225613,-0.20896205,-0.06075303,0.19318792,0.02650744,-0.07051316,0.06594875,-0.08304393,-0.19569339,-0.02483018,-0.08371018,-0.15409863,0.019714171,-0.054507256,-0.047562126,-0.0038585933,-0.011747027,0.03820267,-0.024932101,0.04209501,0.02441852,0.05216851,-0.03552624,0.044627037,-0.09461303,-0.028120682,-0.11213128,-0.026833488,0.041117717,0.1263698,0.017533688,0.11892663,-0.04177478,-0.19628562,0.06711621,0.087632105,-0.035165712,0.13659361,-0.19477867,0.09944498,0.0229109,0.052520435,0.113435306,-0.05793791,0.05961243,-0.15129593,0.13443248,-0.07083206,0.0001338276,0.08250268,-0.08411192,-0.06888298,-0.08033297,-0.018393558,-0.01580936,0.17905514,0.07466593,-0.034764193,0.020660017,0.015998954,0.010742998,-0.15387495,0.0775174,-0.12993602,-0.02632629,0.08440659,-0.08082395,0.059581667,0.07489808,0.048312746,0.035370026,-0.00085640216,0.04565952,0.03157129,-0.033815946,0.0340659,0.027189903,0.036129028,0.0016232892,0.14743079,0.0022795547,0.0048510847,0.1466476,0.09006996,0.09325202,0.17221934,-0.0110808825,0.16381215,-0.05042852,0.14099556,-0.12647043,0.010523752,-0.023464616,90
0.051796164,-0.0621571,-0.1345937,-0.09429535,-0.03096447,0.07147988,0.058179997,-0.18701668,0.035852212,0.026663685,0.01701766,-0.01590938,-0.04273558,-0.09523898,0.14578617,0.16170752,0.0406031,-0.120585196,0.016377611,-0.07517189,0.013335055,0.057481863,-0.11025155,-0.00082870777,0.07705436,0.030375367,0.15662648,-0.048647158,0.08975268,0.103433765,0.1379339,-0.049327698,0.14913328,0.017221086,0.07377618,0.110230684,-0.18261541,-0.067868166,0.17120959,0.028509768,-0.051211435,0.018642906,-0.110060856,-0.1586047,0.017450584,-0.123887695,-0.17412995,-0.018304022,-0.026337648,-0.08958893,0.0010579923,-0.06031891,-0.006426741,0.025245838,0.06028543,0.0075860675,0.07177281,-0.052362066,0.027488938,-0.1335486,-0.014847475,-0.0919843,-0.0007558955,-0.0044817375,0.11117088,0.007652189,0.10876489,-0.024288066,-0.216344,0.046755616,0.073472284,-0.002135065,0.13324371,-0.17013407,0.11757723,0.027864622,0.08011527,0.09205876,-0.008493151,0.06571994,-0.16792113,0.16153452,-0.099987425,-0.019105779,0.06249284,-0.08954585,-0.108684994,-0.065749794,0.003809091,-3.5096047e-05,0.13507342,0.094336614,-0.035645556,0.033347197,-0.039465465,-0.044654105,-0.14715506,0.10068548,-0.124323055,-0.014718212,0.096378244,-0.062846884,0.011725818,0.061025184,0.11790873,0.058632176,-0.03843386,0.029377194,0.018979782,0.006101037,0.017289009,0.058044236,0.029587504,-0.05131935,0.11271792,-0.014687368,0.017655542,0.08547492,0.07337334,0.0977454,0.15254226,0.029471824,0.18214141,-0.04019694,0.15414773,-0.08134901,0.006635969,-0.02272519,90
0.0676121,-0.028383182,-0.063724354,-0.16256964,-0.02628688,0.04593635,0.08785311,-0.2218023,0.024194838,0.013232787,-0.027127974,-0.007385398,-0.015506294,-0.100309804,0.13518414,0.084245734,-0.034481,-0.12043656,0.03195407,-0.09828628,0.06004545,0.056825247,-0.10592188,0.014084608,0.044565868,0.021377755,0.09444166,-0.08044005,0.025183933,0.12816885,0.14609292,-0.07861855,0.11754342,0.03808243,0.098845564,0.083233565,-0.17268772,-0.10227014,0.21949348,0.037522774,-0.050642498,0.038362667,-0.13843013,-0.17505388,-0.04326329,-0.09300576,-0.17699549,0.00036188174,-0.049157884,-0.04723411,-0.06517799,-0.042706195,0.0022057365,-0.042713698,0.07340527,0.009845063,0.07333404,-0.060853135,-7.4417345e-05,-0.1298983,0.0022503978,-0.16927329,-0.0068986556,-0.015217214,0.06285537,0.0059964624,0.05824945,-0.0430344,-0.17787126,0.08152508,0.120937094,-0.00010073274,0.16437331,-0.22267525,0.10684694,-0.023106534,0.061014067,0.08592283,-0.03298152,0.06014218,-0.14561191,0.099198006,-0.06785354,0.024563652,0.09906102,-0.05021799,-0.09210045,-0.08663278,-0.004409158,0.050683297,0.13244751,0.08547765,-0.07327509,0.041669246,0.005289606,-0.008856671,-0.14118949,0.10661512,-0.12267149,-0.05697061,0.11293429,-0.024403216,0.043031584,0.044692267,0.08558396,0.01786491,-0.02310387,0.028319037,-0.012180807,-0.046449553,0.039238397,0.013779981,0.023500023,-0.008414505,0.14585249,0.012365631,0.047203764,0.10207142,0.08640733,0.12628011,0.14603613,0.008740509,0.14100443,-0.085687555,0.0677559,-0.105712734,-0.040701795,-0.0012096252,90
0.08392848,-0.098383255,-0.12360555,-0.104025915,-0.056586552,0.089455046,0.027142648,-0.15668315,0.054309774,0.0011496933,0.0069076614,-0.0024391522,-0.0058315136,-0.12956786,0.13753751,0.08442255,0.058783997,-0.13985628,0.06110009,-0.04555936,0.017793022,0.058994275,-0.115515515,-0.007638941,0.080059014,-0.0047651646,0.10370237,0.012030664,0.08968631,0.092788815,0.10219159,-0.020932483,0.10089952,-0.045732886,0.08657321,0.053503968,-0.179448,-0.029375875,0.16222602,-0.018669879,-0.07939839,0.07236512,-0.118515186,-0.19574618,-0.048024934,-0.12848063,-0.14490591,-0.019152459,-0.028111685,-0.006111415,0.029663516,-0.05022097,0.041932374,-0.049499694,0.0476911,0.037350636,0.06155176,-0.057554025,0.033714622,-0.10746693,-0.0055492483,-0.101822555,0.013393545,0.05616586,0.12760627,0.030601231,0.13734615,-0.0059788986,-0.1859549,0.06482947,0.066121,-0.046217073,0.11617856,-0.20507328,0.103242144,0.042559106,0.056302927,0.0940769,-0.0901079,0.047624595,-0.16097593,0.13737915,-0.08087134,0.014897801,0.074159026,-0.14672893,-0.03903671,-0.13113616,-0.07867824,-0.011397379,0.1753857,0.03144211,-0.12461443,0.00873273,-0.03223174,-0.026945297,-0.1317329,0.081974216,-0.122245535,-0.036197763,0.07042189,-0.031071054,0.08352991,0.049873862,0.07340921,0.07875415,-0.014671575,0.0048149223,0.06952361,-0.036723692,0.03708498,0.016517425,-0.003388447,0.011116097,0.13265218,-0.018771755,0.015743408,0.11901499,0.054800548,0.10221089,0.1817597,0.0037020992,0.16154888,-0.008617934,0.15938382,-0.13482344,-0.05005219,-0.025484616,90
